Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Gypsypants",468159243,2889726,1659349,1230377,134,-257,210,240,60,58,97,13,45,63,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,11,7,4
"Stormpooper",368596367,4569745,2523689,2046056,123,-108,213,286,83,170,160,37,60,85,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,19,13,9
"Dak Marcu",954877581,5093715,2852134,2241581,127,-35,182,190,70,100,184,22,55,76,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,17,11,9
"The Gunslinger",113157146,4933888,2932707,2001181,146,-57,392,280,93,121,198,33,81,121,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,20,14,10
"Piggy Wiggy",913554478,5690158,3362004,2328154,144,103,279,231,106,124,208,30,77,120,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,21,12,15
"DarkAngelMortis",755911777,4051366,2162118,1889248,114,-23,194,233,60,79,145,23,56,75,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,16,11,7
"hellwas",782311931,4913942,2837762,2076180,136,-66,31,178,78,64,187,24,51,87,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,17,9,9
"Webjunky",197682514,4342997,2582375,1760622,146,-180,58,236,67,109,162,24,57,73,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,9,7,4
"PattyIce11",846322428,4321878,2538731,1783147,142,11,137,256,81,109,133,28,61,93,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,13,10,7
"Alex",126743891,3779057,2195009,1584048,138,-108,200,167,55,52,146,15,38,69,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,14,9,9
"Thessa Odai",547263647,5276478,3043109,2233369,136,43,72,208,90,121,217,24,62,102,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,21,15,12
"Stekwalker",525363473,5515267,3226475,2288792,140,9,142,188,95,99,207,26,58,107,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,20,12,10
"Poo75",922517851,5113412,3004561,2108851,142,-67,86,212,90,88,193,22,69,99,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,17,12,8
"Dsh",681537475,5667623,3294850,2372773,138,77,349,278,104,125,216,33,100,134,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,23,13,11
"Seba",683573952,4323405,2344255,1979150,118,-61,106,144,59,57,156,13,38,61,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,12,8,6
"Cletus67",784114312,5609261,3191701,2417560,132,157,172,388,100,246,184,56,113,133,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,17,11,8
"Sam",811935177,6184887,3626836,2558051,141,99,143,301,114,196,225,47,100,176,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,22,14,12
"Vinny the Goof",662449345,5352566,3041150,2311416,131,6,279,223,95,112,205,31,66,116,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,22,13,10
"TheRealistRob",888777721,5109580,2998856,2110724,142,-18,193,167,84,23,209,10,71,97,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,19,12,9
"Grish",891496754,5173424,2936449,2236975,131,-144,200,296,97,163,184,37,84,104,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,17,12,9
"PatrickE",969791958,5251659,3057383,2194276,139,-66,137,209,91,105,216,25,64,117,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,20,14,11
"Crispo",541895511,3975754,2316751,1659003,139,8,189,207,55,63,141,13,57,86,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,14,10,7
"Chaz Regal",471518642,5125862,2914779,2211083,131,23,154,108,71,9,212,5,49,116,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,18,11,10
"PillClinton",383786623,4765536,2712703,2052833,132,83,114,199,81,41,193,14,73,98,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,18,12,8
"hatchermc",318311241,5792191,3293180,2499011,131,95,185,218,97,119,218,30,73,123,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,20,14,10
"Bobbyt1202",195638347,7425404,4324265,3101139,139,59,397,533,141,567,234,114,169,183,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,24,14,14
"Zeke",163352854,5626175,3295693,2330482,141,200,276,391,85,327,193,63,92,123,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,18,13,11
"PwnsMITTH",692683379,6864982,4014521,2850461,140,38,376,523,119,487,228,106,156,161,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,23,14,14
"Karol92",577742967,3681579,2030451,1651128,122,-331,132,182,59,76,154,18,34,57,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,11,8,6
"Commanderjar",739576966,4813988,2813458,2000530,140,-10,195,209,81,130,195,28,47,90,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,17,12,8
"GerkN",344581255,6121968,3513036,2608932,134,-43,244,280,107,189,225,46,88,140,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,22,14,12
"Stavro",689236262,6564936,3788883,2776053,136,-91,184,396,105,398,213,76,105,135,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,20,13,10
"JayKay",728675348,4938198,2808961,2129237,131,-108,238,199,76,123,186,24,50,98,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,17,11,10
"LouDBoi",329375554,3854854,2168573,1686281,128,-7,96,230,66,115,134,22,44,72,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,15,11,8
"DV",293547112,5350519,3151579,2198940,143,-95,758,354,103,208,202,47,101,129,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,21,14,11
"Maverick0025",158486163,3815487,2291707,1523780,150,-65,69,138,57,60,141,11,30,58,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,11,10,5
"Yojimbo",125923118,5121487,2990165,2131322,140,-39,66,254,79,136,182,27,76,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,18,13,10
