Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Zetas,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Yord",288594141,4965516,2951629,2013887,146,23,73,200,16,62,100,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,17,10,9
"DarthSalsa",255924363,5513759,3335639,2178120,153,-69,109,214,37,97,132,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,21,15,11
"Sampsonite112",368275683,6137440,3780428,2357012,160,77,92,234,70,116,150,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,23,10,12
"Gabe Galaxyroamer",214377667,4372576,2574155,1798421,143,-54,74,187,16,57,106,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,17,11,9
"sir5centalot",268422815,5721240,3465287,2255953,153,-38,114,215,44,97,126,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,20,12,10
"Hego Damask",759993845,5688745,3465891,2222854,155,64,105,226,40,100,137,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,23,13,11
"L'one Starr",951659657,5217815,3161663,2056152,153,130,96,215,36,75,121,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,19,12,13
"Newmania",329662714,5805959,3518455,2287504,153,12,100,224,46,111,139,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,22,13,12
"elderjl24",289697996,4740388,2897210,1843178,157,78,92,181,22,59,89,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,20,14,12
"Ashby165",244963476,3763578,2310190,1453388,158,46,71,154,21,51,88,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,14,9,8
"Bender",767431233,4997561,2904680,2092881,138,55,85,207,25,75,117,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,20,14,11
"Jacq Lau",472457853,5887250,3553999,2333251,152,-34,109,223,45,93,142,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,21,13,11
"Mindl",793674244,5001949,2953528,2048421,144,-93,93,203,34,79,119,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,18,12,9
"Fainsan",879278191,5771014,3528795,2242219,157,57,94,216,38,101,150,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,21,14,12
