Name,Count,G10+,G13+,R5,leader zeta,other zeta
"Supreme Leader Kylo Ren",14,14,14,14,14,70
"T3-M4",120,24,2,1,0,18
"TIE Fighter Pilot",149,30,1,0,0,0
"Talia",149,43,2,0,0,0
"Teebo",148,28,1,1,0,0
"The Armorer",109,7,5,5,0,8
"The Mandalorian",126,33,8,3,11,18
"The Mandalorian (Beskar Armor)",9,4,3,2,4,4
"Threepio & Chewie",106,15,10,9,0,18
"Tusken Raider",119,2,1,1,0,0
"Tusken Shaman",102,5,1,1,0,0
"URoRRuR'R'R",83,5,1,1,0,0
"Ugnaught",120,5,0,0,0,0
"Vandor Chewbacca",62,6,1,0,0,5
"Veteran Smuggler Chewbacca",103,17,12,1,0,5
"Veteran Smuggler Han Solo",104,24,16,0,0,8
"Visas Marr",74,10,1,0,0,6
"Wampa",69,29,25,10,0,44
"Wat Tambor",52,30,5,3,0,37
"Wedge Antilles",131,36,9,1,0,0
"Wicket",116,63,0,0,0,32
"Young Han Solo",94,5,0,0,0,4
"Young Lando Calrissian",106,7,0,0,0,3
"Zaalbar",132,52,5,2,0,33
"Zam Wesell",124,17,1,0,0,10
