Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Zetas,7*,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Valethor",586275328,3934637,2197233,1737404,126,69,149,21,68,80,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,15,11,8
"Algol",239521251,4777381,2797452,1979929,141,82,208,27,72,107,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,19,12,10
"Fisheye",913769856,4790216,2858018,1932198,147,94,189,31,82,102,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,18,14,10
"Bugsy discord 8833",272676824,4376182,2618162,1758020,148,85,176,31,56,103,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,19,13,11
"Beeblebrox",762722773,4794155,2741368,2052787,133,72,186,27,65,94,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,15,10,7
"McGregor",655941347,4285041,2585325,1699716,152,61,216,24,59,85,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,15,11,9
"Jabit",996143297,4563192,2778069,1785123,155,79,159,27,60,88,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,16,11,9
"Enfys Pest",475654423,5233257,3157968,2075289,152,94,197,46,88,115,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,20,13,10
"Myth",438859262,5257754,3086632,2171122,142,83,223,23,57,112,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,22,15,11
"Pan Wombat",723399469,4418506,2574355,1844151,139,79,170,20,52,84,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,17,13,8
"Your mom isJabba",384496563,5384596,3245507,2139089,151,101,211,20,63,114,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,20,14,11
"Vanderman",259619919,4508996,2693650,1815346,148,80,174,20,47,86,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,14,9,6
"Cpt Fizz",119793238,4378618,2542590,1836028,138,82,177,27,64,93,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,17,13,9
"altern8",918867712,4461693,2781446,1680247,165,74,174,25,44,70,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,11,9,6
"Beastializer",758527125,3457926,2187373,1270553,172,59,155,23,37,69,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,14,9,7
"Persi",387543645,3517461,2117913,1399548,151,66,148,20,53,81,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,14,10,7
"Sasuke Uchiha",681736158,3784884,2251761,1533123,146,58,140,21,43,79,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,12,10,5
"ddcom1970",537847222,4273253,2618635,1654618,158,71,165,18,74,104,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,17,12,10
"Drew Rosario",783146692,5094797,3048132,2046665,148,99,208,34,90,102,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,18,10,10
"Deell Jade",666531553,4388089,2710241,1677848,161,86,166,17,67,101,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,18,12,11
"Tastyburger",863739363,4025270,2371213,1654057,143,66,164,20,50,91,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,15,11,8
"Yodi wan",436744954,5202700,3040889,2161811,140,89,198,29,58,105,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,16,9,8
"AhsokaTano",492465327,2425464,1584741,840723,188,46,85,19,31,56,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,8,6,4
"Shuko Shuko",383926818,5152274,2991706,2160568,138,69,215,27,63,96,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,20,13,11
"Iany",973985677,3937971,2247733,1690238,132,78,155,26,56,86,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,16,13,9
"El gordo",879441629,5714558,3434314,2280244,150,101,223,38,86,126,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,23,14,11
"Mor Tal",319694198,5627020,3327220,2299800,144,105,214,59,110,126,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,22,13,12
