Name,Count,G10+,G13+,R5,leader zeta,other zeta
"Hoth Rebel Soldier",217,4,0,0,0,0
"Hunter",166,6,2,2,5,0
"IG-100 MagnaGuard",235,61,31,17,0,25
"IG-11",197,14,5,4,0,12
"IG-86 Sentinel Droid",236,13,0,0,0,0
"IG-88",222,98,6,3,0,30
"Ima-Gun Di",156,7,0,0,0,0
"Imperial Probe Droid",91,6,2,1,0,7
"Imperial Super Commando",179,5,1,0,0,0
"Jango Fett",224,135,19,12,56,77
"Jawa",223,11,1,1,0,0
"Jawa Engineer",115,11,1,1,0,0
"Jawa Scavenger",193,13,1,1,0,0
"Jedi Consular",236,79,3,0,0,0
"Jedi Knight Anakin",236,160,82,64,0,127
"Jedi Knight Guardian",233,1,0,0,0,0
"Jedi Knight Luke Skywalker",19,19,19,19,19,19
"Jedi Knight Revan",160,153,111,62,153,272
"Jedi Master Luke Skywalker",7,7,7,7,7,35
"Jolee Bindo",213,153,53,30,0,157
"Juhani",175,94,4,2,0,44
"Jyn Erso",165,24,3,2,21,7
"K-2SO",205,9,2,2,0,6
"Kanan Jarrus",233,65,9,3,0,61
"Kit Fisto",144,7,1,0,0,0
"Kuiil",189,13,5,4,0,15
"Kylo Ren",225,96,38,30,0,84
"Kylo Ren (Unmasked)",236,112,52,37,108,86
"L3-37",156,16,2,1,0,7
"Lando Calrissian",176,64,25,16,0,0
"Lobot",182,8,0,0,0,0
"Logray",218,79,0,0,0,41
"Luke Skywalker (Farmboy)",236,53,3,0,17,16
"Luminara Unduli",229,92,4,1,18,0
"Mace Windu",235,143,5,2,0,0
"Magmatrooper",226,11,2,0,0,0
"Mission Vao",215,96,8,3,0,84
"Mob Enforcer",177,1,0,0,0,0
"Moff Gideon",236,18,6,5,12,14
"Mon Mothma",166,20,15,12,31,33
"Mother Talzin",187,89,21,11,94,71
"Nightsister Acolyte",150,27,1,0,0,0
"Nightsister Initiate",211,10,3,1,0,11
"Nightsister Spirit",229,27,1,1,0,0
"Nightsister Zombie",229,98,13,4,0,0
"Nute Gunray",221,102,6,4,0,56
"Obi-Wan Kenobi (Old Ben)",236,88,25,18,0,89
"Old Daka",228,111,30,14,0,77
"Padmé Amidala",194,117,71,49,138,133
"Pao",147,7,2,2,0,7
"Paploo",223,118,3,0,0,53
"Plo Koon",224,47,5,2,0,0
"Poe Dameron",218,38,16,16,0,0
"Poggle the Lesser",233,155,9,2,0,0
"Princess Leia",234,94,14,1,0,42
"Qi'ra",159,30,0,0,0,14
"Qui-Gon Jinn",217,62,2,0,30,0
"R2-D2",223,124,41,21,0,182
"Range Trooper",159,20,5,4,0,0
"Rebel Officer Leia Organa",206,46,26,6,0,18
"Resistance Hero Finn",136,19,15,15,0,15
"Resistance Hero Poe",155,20,14,14,0,15
"Resistance Pilot",236,25,16,1,0,0
"Resistance Trooper",175,45,18,17,0,0
"Rey",12,12,12,11,12,58
"Rey (Jedi Training)",108,82,56,40,78,127
"Rey (Scavenger)",236,102,21,19,0,33
"Rose Tico",110,22,15,14,0,5
"Royal Guard",236,39,22,0,0,0
"Sabine Wren",230,43,4,2,0,26
"Savage Opress",193,52,2,0,0,29
"Scarif Rebel Pathfinder",206,11,4,2,0,0
"Shaak Ti",195,99,47,27,103,96
"Shoretrooper",174,31,8,4,0,0
"Sith Assassin",180,13,0,0,0,0
"Sith Empire Trooper",177,55,26,15,0,0
"Sith Eternal Emperor",19,18,17,16,18,90
"Sith Marauder",161,47,31,26,0,0
"Sith Trooper",162,37,26,22,0,42
"Snowtrooper",236,30,5,3,0,0
"Stormtrooper",229,23,4,2,0,8
"Stormtrooper Han",229,73,1,1,0,22
"Sun Fac",231,110,17,6,0,0
"Supreme Leader Kylo Ren",17,17,16,16,17,85
"T3-M4",203,40,2,2,0,32
"TIE Fighter Pilot",236,47,3,1,0,0
"Talia",236,77,5,1,0,0
"Tech",164,3,2,2,0,3
"Teebo",235,51,2,1,0,0
"The Armorer",179,10,7,6,0,15
"The Mandalorian",204,54,16,9,26,42
"The Mandalorian (Beskar Armor)",19,7,7,5,8,8
"Threepio & Chewie",174,27,18,16,0,28
"Tusken Raider",205,2,1,1,0,0
"Tusken Shaman",172,8,1,1,0,0
"URoRRuR'R'R",139,5,1,1,0,0
"Ugnaught",189,6,0,0,0,0
"Vandor Chewbacca",114,8,1,1,0,9
"Veteran Smuggler Chewbacca",167,27,16,1,0,9
"Veteran Smuggler Han Solo",170,32,20,1,0,11
"Visas Marr",131,11,1,0,0,7
"Wampa",120,57,44,16,0,95
"Wat Tambor",66,43,4,3,0,50
"Wedge Antilles",208,53,17,3,0,0
"Wicket",199,114,1,0,0,59
"Wrecker",153,3,2,2,0,5
"Young Han Solo",166,7,0,0,0,5
"Young Lando Calrissian",175,16,0,0,0,6
"Zaalbar",212,99,6,2,0,70
"Zam Wesell",198,31,1,0,0,18
